#{"t_start": 1744489987.390344, "env_id": "LunarLander-v3"}
r,l,t
264.530396,226,0.576704
272.48343,207,0.605047
39.536392,168,0.627324
4.499072,141,0.646612
271.205102,198,0.673771
47.38003,105,0.688341
274.601148,205,0.716567
266.660295,202,0.744222
280.759968,214,0.772677
248.71918,204,0.800294
33.437806,168,0.822414
11.040683,142,0.841333
278.399558,216,0.870365
20.947344,162,0.891794
52.500237,175,0.915006
262.427317,206,0.942744
28.545966,139,0.96121
251.454642,264,0.997212
296.462288,198,1.024006
259.553922,210,1.052698
260.745514,207,1.080535
40.818535,175,1.103589
286.18465,219,1.133315
267.576381,251,1.167818
58.048911,158,1.18903
66.215077,169,1.211535
44.439919,163,1.233755
42.605294,159,1.25474
248.181036,230,1.285378
38.582814,176,1.308701
289.466834,227,1.339205
299.179464,198,1.366431
270.426756,254,1.400562
245.070207,197,1.426715
49.255135,169,1.449017
291.593712,198,1.47556
272.889837,203,1.502435
54.207137,176,1.525676
-8.112619,154,1.545977
275.18577,189,1.571534
272.372707,217,1.600606
54.620639,187,1.625277
33.369194,161,1.646677
302.175158,225,1.676803
54.647359,172,1.69958
307.705963,257,1.734651
290.575602,215,1.763564
59.487523,167,1.78594
274.599166,207,1.814464
15.272177,145,1.833674
27.451476,134,1.851456
40.10106,162,1.872909
47.293963,158,1.893877
62.992179,161,1.915286
15.473857,158,1.93651
45.528991,157,1.957682
43.95348,171,1.980254
31.898155,170,2.002796
21.867,162,2.024343
239.678311,225,2.054743
267.368672,225,2.085111
35.632317,154,2.105805
302.214815,189,2.131713
20.300698,155,2.152274
48.631891,158,2.173411
36.414527,174,2.196327
25.3943,161,2.217815
270.124216,196,2.244648
30.702425,175,2.267743
47.623184,158,2.288766
37.365998,162,2.310258
58.575831,165,2.332272
266.118371,204,2.35965
226.332581,236,2.391489
56.502035,161,2.412873
5.691967,179,2.436489
263.406887,231,2.467872
49.425049,172,2.490703
-3.100152,168,2.512806
273.599359,216,2.542183
245.642592,217,2.571416
249.489597,217,2.600474
283.770959,199,2.627269
51.313412,184,2.651451
273.034849,320,2.695164
44.168686,160,2.716163
293.388801,223,2.746177
40.858332,166,2.768098
34.209675,158,2.78904
7.83407,170,2.811299
59.06066,163,2.833133
64.74684,177,2.856554
37.860502,162,2.877952
287.93886,234,2.910784
250.122215,235,2.952936
258.719553,223,2.98563
60.038011,165,3.007933
267.692487,202,3.035274
48.1887,158,3.056537
9.396171,161,3.077796
